Week,Actual_Demand,Moving_Average_Forecast,Exponential_Smoothing_Forecast,Random_Forest_Forecast
2025-05-11,1753,1832.0,1851.0559977748494,1866.776066720317
2025-05-18,2023,1804.75,1841.2503979973644,1846.6576974392717
2025-05-25,1805,1829.75,1859.425358197628,1830.5653065061297
2025-06-01,1988,1851.5,1853.9828223778652,1862.086947439271
2025-06-08,1860,1892.25,1867.3845401400786,1806.5091092888592
2025-06-15,1819,1919.0,1866.6460861260707,1843.5436339472076
2025-06-22,1799,1868.0,1861.8814775134638,1859.0875537333036
2025-06-29,1854,1866.5,1855.5933297621175,1841.414308783809
